   55187   12563   37499   16890   40603   41129   37607   18548   38866   24380   29837   63615   36787   36787
   37424   13470   27335    2027   21370   37739   33459   16075   17986   17334   30370   51132   36086   36086
   36734   20982   45910   27025   22082   41129   40095   21021   49616   24604   29304   45610   42397   42397
   57602   15671   39952   20944   30630   64857   43552   13602   36592   36458   20247   52332   56186   56186
   38114   23960   52919   35132   34192   41129   32491   32149   29150   16999   29837   39849   21362   21362
   54670   13211   38200   15539   29918   51750   42169   25967   32251   30587   30370   37929   54784   54784
   57947   14635   38200   13512   18521   34349   30141   21021   32457   22199   28771   55453   47305   47305
   52256   18262   43807   23647   36329   36609   30002   22257   17366   21081   30903   55453   47539   47539
   65535   11656   28387   11486   19233   41129   36501   19784   32457   21920   31968   37929   35853   35853
   48806    7900   31891   18242   19945   45197   38851   11129   29770   33215   28239   54733   35853   35853
   52945   18391   32943   24998   24932   44519   41201   11129   40727   24995   41026   45610   57589   57589
   53290    9584   33644   20944   17808   27570   28896   16075   23981   20801   36764   37209   46837   46837
   46909   12822   36798   18242   13534   36609   33459   19784   28943   24156   35698   39129   48707   48707
   64155   12822   36097    2702   14959   47908   46317   37095   49616   23038   41026   35048   40761   40761
   57774   14635   35746    4729   22795   52428   45626   19784   52717   34781   38362   41530   59318   59318
   44840   13858   46961   22295   29918   42259   35533   21021   21707   33662   42624   38649   48240   48240
   56395   15283   47662   31754   35617   41129   38713   24730   32251   27511   31435   33128   46837   46837
   48289   10750   44157   31754   32055   44519   42307   33386   27082   29748   34632   31207   39826   39826
   54498   11009   39251   19931   27069   52428   49635   23494   29977   41491   39960   37209   65535   65535
   45012   30566   42055   15539   32768   38869   37192    4946   25842   21360   25575   50171   26504   26504
   52256   11527   32242   18242   39891   45649   39127   13602   34938   24436   32501   58573   23465   23465
   32768   39632   45209   27025   22795   32316   28620   14838   32457   18005   29304   54012   22998   22998
   46219   14506   35045   20269   22082   36835   35118   17311   26462   14091   33567   65535   35385   35385
   31388   11138   40653   24322   17808   33897   28067   16075   21707   14818   32501   56653   34450   34450
