   1533170   3459455   1094050   1122251
   1291644   2306304   1094050   1122251
   1050117   2767564   1037374   1122251
    929354   2536934   1150726   1122251
   1412407   3690086   1094050   1122251
   1895460   4381977   1264077   1384319
    929354   3228825   1094050   1253285
   1412407   3228825   1150726   1122251
    687827   2075673   1094050   1122251
   1291644   2536934   1150726    991217
   1895460   3920716   1150726   1122251
   1170880   3228825   1207402   1122251
   1170880   2306304   1094050    991217
    567064   2306304    924022    991217
   2378513   4612607    980698   1122251
   2257750   5535128   1150726   1384319
   1895460   4381977   1037374   1384319
   1533170   3459455   1094050   1253285
   2257750   4151346   1264077   1253285
   1533170   4151346   1150726   1253285
   1895460   3228825   1264077   1122251
   1533170   3920716   1150726   1384319
    929354   3690086    867347   1122251
   1533170   2998195   1264077   1515353
   1170880   3228825   1377429   1122251
   1412407   2306304   1207402   1122251
   1412407   3228825   1207402   1384319
   1653933   3459455   1150726   1122251
   1653933   3228825   1094050   1122251
   1050117   2767564   1207402   1122251
   1170880   2536934   1207402   1122251
   1895460   3228825   1150726   1384319
   1653933   4843237   1150726    991217
   2016223   5073868   1094050   1122251
   1291644   2536934   1150726    991217
   1412407   2767564    980698   1122251
   2016223   3459455   1037374   1122251
   1291644   2536934   1150726    991217
    687827   2306304   1037374   1122251
   1533170   3228825   1150726   1122251
   1412407   3459455   1037374   1253285
    808590    691891   1037374   1253285
    687827   2767564   1037374   1122251
   1412407   3459455   1207402   1646387
   1533170   4151346   1377429   1384319
   1170880   2306304   1094050   1253285
   1533170   4151346   1207402   1122251
    929354   2767564   1094050   1122251
   1774697   3920716   1150726   1122251
   1412407   2998195   1094050   1122251
   3827673   2767564   2964353   2694659
   3103093   2767564   2851001   2825693
   3706910   2536934   3077704   2825693
   2016223    691891   2567622   2563625
   3223856   1845043   2907677   2825693
   2257750   1845043   2851001   2563625
   2982330   2998195   2964353   2956727
   1291644    922522   2170891   2170523
   3344620   2075673   2907677   2563625
   1653933   1614413   2510946   2694659
   1412407         0   2284243   2170523
   2499277   2306304   2680973   2825693
   2620040    461261   2567622   2170523
   2740803   2075673   2964353   2694659
   2136987   2075673   2340918   2563625
   3465383   2536934   2794325   2694659
   2136987   2306304   2851001   2825693
   2378513   1614413   2624298   2170523
   2861566    461261   2851001   2825693
   2136987   1153152   2510946   2301557
   2499277   2767564   3021028   3218795
   2740803   1845043   2567622   2563625
   2982330   1153152   3077704   2825693
   2740803   1845043   2964353   2432591
   3103093   2075673   2737649   2563625
   3344620   2306304   2794325   2694659
   3586146   1845043   3021028   2694659
   3465383   2306304   3134380   3087761
   2620040   2075673   2851001   2825693
   2257750   1383782   2284243   2170523
   2016223    922522   2454270   2301557
   2016223    922522   2397594   2170523
   2378513   1614413   2510946   2432591
   2620040   1614413   3191056   2956727
   1895460   2306304   2851001   2825693
   2620040   3228825   2851001   2956727
   3465383   2536934   2964353   2825693
   2982330    691891   2794325   2563625
   2136987   2306304   2624298   2563625
   2016223   1153152   2567622   2563625
   2016223   1383782   2794325   2432591
   2740803   2306304   2907677   2694659
   2378513   1383782   2567622   2432591
   1412407    691891   2170891   2170523
   2136987   1614413   2680973   2563625
   2257750   2306304   2680973   2432591
   2257750   2075673   2680973   2563625
   2861566   2075673   2737649   2563625
   1533170   1153152   2000863   2301557
   2257750   1845043   2624298   2563625
   2982330   2998195   3701138   4136033
   2378513   1614413   3191056   3349829
   3948436   2306304   3644463   3611897
   2982330   2075673   3474435   3218795
   3223856   2306304   3587787   3742931
   4552253   2306304   4041193   3611897
   1291644   1153152   2851001   3087761
   4189963   2075673   3871166   3218795
   3465383   1153152   3587787   3218795
   4069199   3690086   3757814   4136033
   3223856   2767564   3191056   3480863
   3103093   1614413   3304408   3349829
   3586146   2306304   3417759   3611897
   2257750   1153152   3134380   3480863
   2378513   1845043   3191056   4004999
   3103093   2767564   3304408   3873965
   3223856   2306304   3417759   3218795
   4673016   4151346   4097869   3742931
   4673016   1383782   4211221   3873965
   2620040    461261   3134380   2825693
   3706910   2767564   3531111   3873965
   2136987   1845043   3077704   3480863
   4673016   1845043   4097869   3480863
   2982330   1614413   3077704   3218795
   3465383   2998195   3531111   3611897
   4069199   2767564   3701138   3218795
   2861566   1845043   3021028   3218795
   2740803   2306304   3077704   3218795
   3103093   1845043   3474435   3611897
   4069199   2306304   3587787   2956727
   4310726   1845043   3757814   3349829
   4914543   4151346   3927842   3480863
   3103093   1845043   3474435   3742931
   2982330   1845043   3191056   2825693
   2740803   1383782   3474435   2694659
   4673016   2306304   3757814   3873965
   2982330   3228825   3474435   4004999
   3103093   2536934   3417759   3218795
   2620040   2306304   3021028   3218795
   3706910   2536934   3361083   3611897
   3465383   2536934   3474435   4004999
   3706910   2536934   3191056   3873965
   2378513   1614413   3191056   3349829
   3586146   2767564   3644463   3873965
   3465383   2998195   3531111   4136033
   3465383   2306304   3247732   3873965
   2982330   1153152   3134380   3349829
   3223856   2306304   3247732   3480863
   2861566   3228825   3361083   3873965
   2499277   2306304   3191056   3218795
